Result with 1 thread: 2854.;;
Elapsed time: 20.369 ticks.;;
Result with 4 threads: 2854.;;
Elapsed time: 15.465 ticks.;;
Number of threads; Ticks; Result
1;6.678;2.854,00
2;6.068;2.854,00
3;9.858;2.854,00
4;11.716;2.854,00
5;15.945;2.854,00
6;17.534;2.854,00
7;22.114;2.854,00
8;24.018;2.854,00
9;26.938;2.854,00
10;23.562;2.854,00
11;22.068;2.854,00
12;18.754;2.854,00
13;20.218;2.854,00
14;25.090;2.854,00
15;27.962;2.854,00
16;23.341;2.854,00
17;23.974;2.854,00
18;26.014;2.854,00
19;34.056;2.854,00
20;29.192;2.854,00
21;38.970;2.854,00
22;32.148;2.854,00
23;34.235;2.854,00
24;33.902;2.854,00
25;42.995;2.854,00
26;37.399;2.854,00
27;37.569;2.854,00
28;34.142;2.854,00
29;40.687;2.854,00
30;64.392;2.854,00
31;46.292;2.854,00
32;54.076;2.854,00
33;53.044;2.854,00
34;56.224;2.854,00
35;51.470;2.854,00
36;55.655;2.854,00
37;54.258;2.854,00
38;58.402;2.854,00
39;55.891;2.854,00
40;55.498;2.854,00
41;57.219;2.854,00
42;62.274;2.854,00
43;64.349;2.854,00
44;62.578;2.854,00
45;72.495;2.854,00
46;69.024;2.854,00
47;72.918;2.854,00
48;70.538;2.854,00
49;75.533;2.854,00
50;67.796;2.854,00
